nodeID nodeLabel nodeSymbol
0 112315 MAP2K4
1 108607 FLNC
2 124185 MYPN
3 106603 ACTN2
4 106605 ACVR1
5 108625 FNTA
6 108894 GATA2
7 111384 PML
8 112038 RPA2
9 112651 STAT3
10 106870 ARF1
11 116775 GGA3
12 106872 ARF3
13 117174 ARFIP2
14 118084 ARFIP1
15 119970 XRN1
16 106728 ALDOA
17 106848 APP
18 115769 APPBP2
19 106830 APLP1
20 107970 DAB1
21 115649 CITED2
22 112878 TFAP2A
23 108347 EP300
24 106835 APOB
25 110641 MTTP
26 106902 ARRB2
27 111836 RALGDS
28 107823 CSF1R
29 109142 GRB2
30 113646 PRRC2A
31 118104 LSM1
32 110758 NARS
33 112412 SLC4A1
34 116605 SLC4A1AP
35 107074 BCL3
36 107056 BARD1
37 106662 ADRB1
38 115978 GIPC1
39 107140 BRCA1
40 106956 ATF1
41 110573 MSH2
42 109211 MSH6
43 106914 ARVCF
44 107448 CDH15
45 111125 PCBD1
46 107229 CACNA1C
47 111643 PSEN2
48 107273 CAPN1
49 107275 CAPN3
50 113124 TTN
51 109913 ITPR1
52 107222 CA8
53 114655 MAGI1
54 107880 CTNNB1
55 111860 RB1
56 107903 CUX1
57 113102 TSG101
58 107460 CDKN1A
59 111040 ORC1
60 110339 MCM2
61 111042 ORC4
62 110342 MCM5
63 113914 CDC7
64 111041 ORC2
65 116129 DBF4
66 115561 AKAP8
67 112037 RPA1
68 112039 RPA3
69 111043 ORC5
70 110340 MCM3
71 113366 YWHAZ
72 107428 CDC25A
73 123577 DOCK8
74 107433 CDC42
75 114733 TRIP10
76 107467 CDKN3
77 107452 CDK2
78 111867 RBBP8
79 111868 RBL1
80 114850 HAND2
81 107488 CENPB
82 107623 CLTC
83 114593 HGS
84 109707 IGFBP3
85 107674 COL1A1
86 113146 TXN
87 107776 ATF2
88 110263 SMAD3
89 110264 SMAD4
90 107336 CCND3
91 118148 EIF3K
92 116131 RALBP1
93 107332 CCNB1
94 111475 PPIB
95 107269 CAMLG
96 107847 CSRP1
97 107832 CSK
98 109854 INSR
99 109701 IGF1R
100 108002 DCN
101 108276 EGFR
102 112384 SIM2
103 106898 ARNT
104 112383 SIM1
105 129335 NPAS4
106 108172 HBEGF
107 113498 ZBTB16
108 111142 PCNA
109 108014 GADD45A
110 116256 TOPBP1
111 113008 TOP2B
112 108605 FLNA
113 108148 DRD3
114 118105 LSM3
115 112519 SNRPE
116 117336 LSM4
117 117180 LSM5
118 108278 EGR1
119 107777 CREBBP
120 110980 NUMA1
121 108349 EPB41
122 120007 EXOSC4
123 108237 EEF1A1
124 111351 PLCG1
125 110092 KTN1
126 108256 EEF1D
127 109992 KDR
128 106805 ANXA5
129 126361 PPARGC1B
130 108403 ESR1
131 112481 SMARCA4
132 122503 DDX54
133 119052 DNTTIP2
134 108551 FGFR1
135 108517 FDPS
136 112898 TGFB1
137 113188 SUMO1
138 106851 FAS
139 119675 MPP6
140 108789 FTL
141 108534 FGA
142 109894 ITGB1
143 116030 FRS3
144 108840 GABRG2
145 116465 GABARAP
146 109072 SFN
147 109165 NR3C1
148 112899 TGFB1I1
149 116450 ECD
150 108915 GCK
151 111229 PFKFB2
152 109541 HSPA5
153 108135 DPH1
154 112405 SLC2A2
155 110036 KPNA2
156 112408 SLC2A4
157 107985 DAXX
158 109155 GRIK2
159 112287 SDCBP
160 114849 PICK1
161 109154 GRIK1
162 107343 CCNT1
163 109153 GRN
164 115576 RGS19
165 109043 GNAZ
166 109037 GNAO1
167 109033 GNAI2
168 109035 GNAI3
169 109531 HSF2
170 113177 UBE2I
171 110172 LIMK1
172 109332 NRG1
173 108543 FGF7
174 109571 HSPG2
175 115722 MAD2L2
176 114464 P4HA2
177 109087 CCR10
178 107169 C1QBP
179 109857 EIF3E
180 116802 GANAB
181 109420 HNRNPA1
182 111657 PSMA3
183 110751 HNRNPM
184 110296 MAN2C1
185 112625 SSR3
186 116387 DDX20
187 115227 UBAP2L
188 116185 IMMT
189 118946 CPSF1
190 109511 PRMT2
191 111797 QARS
192 113771 IFT88
193 113647 BAG6
194 109314 HTT
195 118845 SETD2
196 114480 HAP1
197 116965 ZDHHC17
198 117304 HYPK
199 110373 MEF2D
200 116168 YWHAQ
201 112791 TCF3
202 109625 ID3
203 109874 IRS1
204 113363 YWHAE
205 114203 SOCS1
206 111719 PTK2
207 111585 MAPK8
208 109768 IL1A
209 110772 NDN
210 109920 JAK2
211 115688 PRMT5
212 107167 BYSL
213 110054 KRT8
214 110073 KRT18
215 107315 CBL
216 115360 DNAJB6
217 110186 LMNA
218 110187 LMNB1
219 112598 SREBF1
220 117709 NARF
221 110447 MLLT4
222 107083 BCR
223 127211 BNIPL
224 107068 BCL2
225 107131 BNIP2
226 112490 SMN1
227 113012 TP53BP2
228 121400 RTN4
229 114226 BECN1
230 110857 NFKB1
231 110244 LYL1
232 114184 SKAP1
233 111752 PTPRC
234 106741 ALOX5
235 116979 COTL1
236 113252 VAV1
237 108822 XRCC6
238 110769 NCF4
239 113353 XRCC5
240 110501 MRE11A
241 119624 PIAS4
242 119354 LEF1
243 110432 MITF
244 123018 DHDDS
245 110199 LOX
246 110959 YBX1
247 114231 SRSF9
248 117499 ATRNL1
249 110330 MC4R
250 120849 ATF7IP
251 110322 MBD1
252 115349 CHAF1A
253 115673 PIAS3
254 117133 PATZ1
255 113791 ANP32A
256 110304 MAP1B
257 110344 MCM7
258 117130 ORC3
259 108565 FHL2
260 110918 NOV
261 111437 POLR2L
262 110443 KMT2A
263 115714 PPIE
264 117172 PPP1R15A
265 111844 RAP1GAP
266 111776 PVRL1
267 111237 PFN1
268 110783 NEB
269 110870 NGFR
270 111554 PRKACB
271 119678 LSM7
272 110946 NPY1R
273 114986 SNCAIP
274 112506 SNCA
275 108350 EPB41L1
276 107719 MAP3K8
277 111902 RELA
278 108636 FOS
279 122133 RNF25
280 116059 PPP1R13L
281 108528 FEN1
282 110902 NOP2
283 115710 MCRS1
284 108414 ETS1
285 111375 PLXNA1
286 106710 AKT1
287 106711 AKT2
288 117522 APPL1
289 108415 ETS2
290 114128 CDK10
291 116598 SHANK2
292 108332 CTTN
293 113295 WIPF1
294 116597 SNW1
295 112388 SKI
296 110952 NRAS
297 111845 RAP1GDS1
298 116318 GLMN
299 110391 MET
300 115984 KDM5B
301 108580 FOXG1
302 108446 EZH2
303 111898 REL
304 111523 PPP4C
305 108609 FLT1
306 112361 SHC1
307 111030 OPRD1
308 115086 GPRASP1
309 110725 MYO1C
310 111173 PDE6D
311 106881 RHOB
312 106880 RHOA
313 111113 PAX5
314 112946 TLE4
